ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,NOM,MPC,SLOC,AHF,MIF,AIF,CF,MHF,PF,CC,LOC,NNL,MI
org.thymeleaf.cache.TTLCacheEntryValidity,4.0,1.0,0.0,3.0,6.0,0.0,4.0,1.0,20.0,34.0,0.0,0.625,0.0,0.0,,7.0,0.5,0.0,
org.thymeleaf.cache.TemplateCacheKey,12.0,1.0,0.0,5.0,28.0,0.0,12.0,9.0,122.0,336.0,1.0,0.2143,1.0,0.0833,,26.25,0.7071,1.0,
org.thymeleaf.context.AbstractContext,12.0,1.0,3.0,5.0,24.0,4.0,12.0,6.0,50.0,96.0,0.0,0.3667,0.0,0.25,,6.8333,0.4091,1.0,
org.thymeleaf.context.AbstractEngineContext,10.0,1.0,3.0,18.0,31.0,9.0,10.0,16.0,80.0,183.0,3.0,0.2375,0.0,0.1,,16.8,0.8,3.0,
org.thymeleaf.context.AbstractExpressionContext,5.0,2.0,2.0,9.0,11.0,0.0,5.0,7.0,31.0,64.0,2.0,0.55,0.0,0.6,,11.4,0.125,1.0,
org.thymeleaf.context.Context,3.0,2.0,0.0,1.0,6.0,3.0,3.0,2.0,11.0,15.0,0.0,0.6667,0.0,0.0,,4.0,2.0,0.0,
org.thymeleaf.context.Contexts,8.0,1.0,0.0,7.0,10.0,28.0,8.0,5.0,26.0,44.0,0.0,0.5,0.0,0.125,,4.5,2.0,0.0,
org.thymeleaf.context.EngineContext,27.0,2.0,0.0,13.0,81.0,0.0,26.0,25.0,392.0,1282.0,7.0,0.1654,1.0,0.0769,,45.8519,0.7262,7.0,
org.thymeleaf.context.EngineContext$1,2.0,1.0,0.0,1.0,3.0,1.0,,,,7.0,0.0,1.0,0.0,,,2.5,2.0,,
org.thymeleaf.context.EngineContext$2,2.0,1.0,0.0,1.0,3.0,1.0,,,,7.0,0.0,1.0,0.0,,,2.5,2.0,,
org.thymeleaf.context.EngineContext$SelectionTarget,1.0,1.0,0.0,1.0,2.0,0.0,,,,8.0,0.0,1.0,0.0,,,6.0,2.0,,
org.thymeleaf.context.EngineContext.(Anon_1),,1.0,0.0,2.0,,0.0,1.0,2.0,5.0,,,,,0.0,,,5.0,0.0,
org.thymeleaf.context.EngineContext.(Anon_2),,1.0,0.0,2.0,,0.0,1.0,2.0,5.0,,,,,0.0,,,5.0,0.0,
org.thymeleaf.context.EngineContext.SelectionTarget,,1.0,0.0,0.0,,0.0,1.0,0.0,7.0,,,,,0.0,,,10.0,0.0,
org.thymeleaf.context.ExpressionContext,3.0,3.0,0.0,2.0,6.0,3.0,3.0,3.0,12.0,18.0,0.0,0.75,0.0,0.0,,5.0,2.0,0.0,
org.thymeleaf.context.IContext,4.0,1.0,0.0,13.0,4.0,6.0,4.0,3.0,6.0,4.0,0.0,0.75,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.IEngineContext,12.0,1.0,0.0,26.0,12.0,66.0,12.0,6.0,14.0,12.0,0.0,0.2292,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.IEngineContextFactory,1.0,1.0,0.0,8.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.IExpressionContext,2.0,1.0,0.0,71.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.ILazyContextVariable,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.ITemplateContext,12.0,1.0,0.0,92.0,12.0,66.0,12.0,9.0,15.0,12.0,0.0,0.25,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.IWebContext,1.0,1.0,0.0,7.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.context.IdentifierSequences,4.0,1.0,0.0,5.0,15.0,0.0,4.0,6.0,33.0,88.0,0.0,0.875,0.0,0.0,,20.75,0.0,1.0,
org.thymeleaf.context.LazyContextVariable,3.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,19.0,39.0,0.0,1.0,0.0,0.6667,,11.3333,0.75,2.0,
org.thymeleaf.context.StandardEngineContextFactory,2.0,1.0,0.0,12.0,20.0,1.0,2.0,14.0,37.0,99.0,0.0,0.6,0.0,0.0,,48.5,2.0,2.0,
org.thymeleaf.context.WebContext,4.0,2.0,0.0,4.0,8.0,0.0,4.0,5.0,23.0,38.0,1.0,0.625,0.0,0.0,,8.25,0.0,0.0,
org.thymeleaf.context.WebEngineContext,26.0,2.0,0.0,15.0,66.0,0.0,26.0,18.0,816.0,339.0,5.0,0.1503,1.0,0.0,,11.7308,0.875,2.0,
org.thymeleaf.context.WebEngineContext$ApplicationAttributeMap,10.0,2.0,0.0,4.0,21.0,43.0,,,,73.0,2.0,0.4667,0.0,,,6.1,0.2778,,
org.thymeleaf.context.WebEngineContext$ExchangeAttributeMap,26.0,2.0,0.0,11.0,71.0,9.0,,,,1500.0,8.0,0.1474,1.0,,,55.9615,0.7011,,
org.thymeleaf.context.WebEngineContext$ExchangeAttributeMap$SelectionTarget,1.0,1.0,0.0,1.0,2.0,0.0,,,,8.0,0.0,1.0,0.0,,,6.0,2.0,,
org.thymeleaf.context.WebEngineContext$NoOpMapImpl,14.0,1.0,3.0,3.0,18.0,91.0,,,,59.0,0.0,0.3929,0.0,,,3.2143,2.0,,
org.thymeleaf.context.WebEngineContext$RequestParameterMap,10.0,2.0,0.0,5.0,21.0,43.0,,,,81.0,2.0,0.4667,0.0,,,6.9,0.2778,,
org.thymeleaf.context.WebEngineContext$RequestParameterValues,9.0,3.0,0.0,2.0,16.0,0.0,,,,146.0,0.0,0.3333,2.0,,,15.0,0.375,,
org.thymeleaf.context.WebEngineContext$SessionAttributeMap,10.0,2.0,0.0,4.0,22.0,43.0,,,,101.0,1.0,0.4667,0.0,,,9.0,0.2222,,
org.thymeleaf.context.WebEngineContext.ApplicationAttributeMap,,2.0,0.0,7.0,,85.0,10.0,7.0,46.0,,,,,0.1,,,67.0,1.0,
org.thymeleaf.context.WebEngineContext.ExchangeAttributeMap,,2.0,0.0,24.0,,76.0,26.0,24.0,404.0,,,,,0.0769,,,587.0,5.0,
org.thymeleaf.context.WebEngineContext.ExchangeAttributeMap.SelectionTarget,,1.0,0.0,0.0,,0.0,1.0,0.0,7.0,,,,,0.0,,,10.0,0.0,
org.thymeleaf.context.WebEngineContext.NoOpMapImpl,,1.0,3.0,5.0,,0.0,13.0,5.0,41.0,,,,,0.0769,,,55.0,0.0,
org.thymeleaf.context.WebEngineContext.RequestParameterMap,,2.0,0.0,9.0,,85.0,10.0,9.0,50.0,,,,,0.1,,,71.0,1.0,
org.thymeleaf.context.WebEngineContext.RequestParameterValues,,1.0,0.0,5.0,,38.0,8.0,5.0,65.0,,,,,0.0,,,79.0,3.0,
org.thymeleaf.context.WebEngineContext.SessionAttributeMap,,2.0,0.0,8.0,,80.0,10.0,8.0,66.0,,,,,0.1,,,87.0,1.0,
org.thymeleaf.context.WebExpressionContext,4.0,3.0,0.0,5.0,8.0,0.0,4.0,6.0,28.0,41.0,1.0,0.65,0.0,0.0,,9.0,0.0,0.0,
org.thymeleaf.dialect.AbstractDialect,2.0,1.0,1.0,3.0,4.0,0.0,2.0,2.0,11.0,15.0,0.0,0.75,0.0,0.5,,6.0,0.0,0.0,
org.thymeleaf.dialect.AbstractProcessorDialect,3.0,2.0,1.0,3.0,4.0,0.0,3.0,1.0,15.0,21.0,0.0,0.5556,0.0,0.3333,,5.3333,0.5,0.0,
